Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time,Sector
NYMT,New York Mtge Trust,4.22,0.11,+2.68%,4.67,3.79,15555300,03/13/20,Real Estate
OAS,Oasis Petroleum Inc,1.0,0.63,+169.69%,1.0,0.34,39265898,03/13/20,Energy
ODP,Office Depot,1.83,0.07,+3.98%,1.93,1.65,7381700,03/13/20,Consumer Cyclical
OFG,Oriental Financial Group,13.1,0.85,+6.94%,13.18,12.06,866400,03/13/20,Financial Services
OFIX,Orthofix Intl NV,26.4,-0.59,-2.19%,28.35,24.41,270000,03/13/20,Healthcare
OII,Oceaneering International,3.23,0.08,+2.54%,3.59,2.65,4395100,03/13/20,Energy
OIS,Oil States International,2.42,-0.02,-0.82%,2.63,2.15,1000900,03/13/20,Energy
OMCL,Omnicell Inc,74.48,8.98,+13.71%,74.83,64.51,545800,03/13/20,Healthcare
OMI,Owens & Minor,4.36,0.24,+5.83%,4.36,3.97,1613800,03/13/20,Healthcare
ONB,Old National Bncp,14.98,1.73,+13.06%,15.0,13.67,2522300,03/13/20,Financial Services
ONTO,Onto Innovation Inc.,27.98,3.21,+12.96%,28.05,24.75,644000,03/13/20,
OPB,Opus Bank,18.27,1.78,+10.79%,18.4,16.44,359300,03/13/20,Financial Services
OPI,Office Properties Income Trust,22.65,-0.36,-1.56%,24.41,21.2,421700,03/13/20,Real Estate
OSIS,O S I Systems Inc,73.29,3.25,+4.64%,73.29,69.37,185200,03/13/20,Technology
OSPN,Onespan Inc,12.9,0.41,+3.28%,13.35,12.25,273100,03/13/20,Technology
OSUR,Orasure Tech Inc,7.54,1.97,+35.37%,7.86,5.23,4117900,03/13/20,Healthcare
OXM,Oxford Industries,45.35,0.62,+1.39%,48.41,44.65,210700,03/13/20,Consumer Cyclical
PAHC,Phibro Anl Htlh A,22.13,1.3,+6.24%,22.18,19.93,216800,03/13/20,Healthcare
PARR,Par Petroleum Corp,10.76,1.28,+13.50%,10.77,9.6,953900,03/13/20,Energy
PATK,Patrick Inds Inc,33.56,3.32,+10.98%,33.56,30.26,379000,03/13/20,Industrials
PBI,Pitney Bowes Inc,2.64,0.29,+12.34%,2.65,2.3,2940600,03/13/20,Industrials
PCRX,Pacira Pharm Inc,35.09,1.98,+5.98%,35.64,32.74,1306800,03/13/20,Healthcare
PDCE,Pdc Energy Inc,9.5,2.29,+31.76%,9.5,6.2,3770000,03/13/20,Energy
